x,y,z,speed,time_sec
0.000000,0.000000,0.000000,44.981003,0.000000
82672.551803,-23975.411416,13.260000,45.020000,0.179938
82672.433474,-23984.372676,30.100000,44.554001,0.379870
82672.306044,-23993.233748,46.560000,44.101002,0.579801
82672.169511,-24002.016896,62.660000,43.662003,0.779732
82672.032978,-24010.699856,78.370000,43.235001,0.979663
82671.896445,-24019.327156,93.750000,42.818001,1.179594
82671.750810,-24027.865400,108.760000,42.413002,1.379526
82671.596073,-24036.303456,123.350000,42.018002,1.579457
82671.441336,-24044.674720,137.560000,41.632004,1.779388
82671.286598,-24052.956928,151.400000,41.255001,1.979319
82671.113657,-24061.172344,164.870000,40.885002,2.179250
82670.949818,-24069.298704,177.960000,40.522003,2.379182
82670.776876,-24077.369404,190.680000,40.165001,2.580113
82670.603934,-24085.373312,203.040000,39.812000,2.780044
82670.421891,-24093.299296,215.010000,39.459003,2.979975
82670.239847,-24101.147356,226.610000,39.076000,3.179906
82670.066905,-24108.928624,237.840000,38.699001,3.379837
82669.884862,-24116.620836,248.690000,38.353001,3.579769
82669.702818,-24124.257388,259.160000,38.007000,3.779700
82669.511672,-24131.816016,269.270000,37.659000,3.979631
82669.320526,-24139.330116,279.040000,37.306004,4.179562
82669.129380,-24146.777424,288.440000,36.948002,4.379493
82668.929132,-24154.124544,297.450000,36.583000,4.579425
82668.737986,-24161.404872,306.100000,36.209003,4.779356
82668.537738,-24168.607276,314.390000,35.804001,4.979287
82668.337490,-24175.731756,322.320000,35.400002,5.179218
82668.146344,-24182.767180,329.880000,35.005001,5.380149
82667.973402,-24189.724680,337.100000,34.580002,5.580080
82667.809563,-24196.593124,343.960000,34.137001,5.780011
82667.663928,-24203.372512,350.480000,33.680000,5.979943
82667.536497,-24210.062844,356.670000,33.211002,6.179874
82667.445475,-24216.652988,362.520000,32.734001,6.379805
82667.363555,-24223.154076,368.050000,32.255001,6.579736
82667.299840,-24229.554976,373.240000,31.798002,6.779667
82667.272534,-24235.889084,378.120000,31.370001,6.979599
82667.254329,-24242.134136,382.670000,30.967001,7.179530
82667.254329,-24248.290132,386.880000,30.588001,7.379461
82667.281636,-24254.368204,390.760000,30.223001,7.579392
82667.336249,-24260.379484,394.310000,29.889002,7.779323
82667.409066,-24266.323972,397.540000,29.589001,7.979255
82667.518293,-24272.212800,400.450000,29.322001,8.179186
82667.645723,-24278.057100,403.020000,29.081001,8.380117
82667.800461,-24283.856872,405.270000,28.864002,8.580048
82667.973402,-24289.600984,407.180000,28.669001,8.779979
82668.164548,-24295.311700,408.750000,28.495001,8.979910
82668.373898,-24300.989020,410.000000,28.340002,9.179841
82668.601453,-24306.644076,410.910000,28.203001,9.379773
82668.856314,-24312.265736,411.480000,28.084002,9.579704
82669.129380,-24317.854000,411.720000,27.982002,9.779635
82669.411548,-24323.453396,411.620000,27.897001,9.979566
82669.721022,-24329.041660,411.190000,27.830002,10.179497
82670.039599,-24334.596528,410.440000,27.780001,10.379429
82670.385482,-24340.129132,409.350000,27.748001,10.579360
82670.758672,-24345.661736,407.940000,27.734001,10.779291
82671.150066,-24351.194340,406.200000,27.737001,10.979222
82671.559664,-24356.738076,404.130000,27.760002,11.180153
82672.005671,-24362.270680,401.740000,27.800001,11.380084
82672.488087,-24367.814416,399.030000,27.858002,11.580015
82672.988708,-24373.380416,396.000000,27.932001,11.779947
82673.543941,-24378.946416,392.650000,28.008001,11.979878
82674.117379,-24384.523548,388.970000,28.099001,12.179809
82674.745430,-24390.111812,384.960000,28.171001,12.379740
82675.446298,-24395.700076,380.610000,28.082001,12.579671
82676.210882,-24401.254944,375.850000,27.781002,12.779603
82676.984568,-24406.731888,370.680000,27.409000,12.979534
82677.694539,-24412.130908,365.100000,27.183001,13.179465
82678.322590,-24417.541060,359.170000,27.233002,13.379396
82678.914232,-24422.973476,352.920000,27.471001,13.579327
82679.551385,-24428.450420,346.360000,27.565001,13.779259
82680.279560,-24433.893968,339.440000,27.244001,13.979190
82681.044144,-24439.237328,332.120000,26.696001,14.180121
82681.735910,-24444.480500,324.400000,26.421001,14.380052
82682.318450,-24449.757068,316.350000,26.643002,14.579983
82682.900990,-24455.089296,308.010000,26.961000,14.779914
82683.583654,-24460.432656,299.350000,26.753002,14.979846
82684.339136,-24465.664696,290.300000,26.062002,15.179777
82685.012698,-24470.774284,280.870000,25.699001,15.379708
82685.577034,-24475.917268,271.120000,26.054001,15.579623
82686.159574,-24481.149308,261.080000,26.346001,15.779489
82686.878646,-24486.336820,250.710000,25.808001,15.979354
82687.597719,-24491.357352,239.990000,25.062000,16.179220
82688.180259,-24496.333356,228.920000,25.214001,16.380085
82688.726391,-24501.409548,217.600000,25.706001,16.579950
82689.409055,-24506.485740,205.990000,25.256001,16.779816
82690.119025,-24511.394952,194.010000,24.392002,16.979682
82690.674259,-24516.248504,181.680000,24.591002,17.179607
82691.220390,-24521.213376,169.100000,25.072001,17.379607
82691.912156,-24526.122588,156.260000,24.373001,17.579607
82692.576616,-24530.864820,143.080000,23.656002,17.779607
82693.095441,-24535.607052,129.610000,24.211000,17.979607
82693.677981,-24540.449472,115.910000,24.261002,18.179607
82694.369747,-24545.147176,101.900000,23.219002,18.379607
82694.934083,-24549.733560,87.590000,23.253000,18.579607
82695.443805,-24554.420132,73.040000,23.793001,18.779607
82696.108265,-24559.062176,58.230000,22.908001,18.979607
82696.699907,-24563.537240,43.120000,22.471001,19.179607
82697.182323,-24568.067964,27.770000,23.159000,19.379607
82697.819476,-24572.620952,12.180000,22.486002,19.579607
82698.420221,-24576.984696,-3.700000,21.827002,19.779607
82698.884432,-24581.392968,-19.800000,22.526001,19.979607
82699.494279,-24585.823504,-36.130000,21.917002,20.179607
82700.085921,-24590.075928,-52.730000,21.252001,20.379607
82700.541031,-24594.372880,-69.550000,21.943001,20.579607
82701.132673,-24598.669832,-86.590000,21.217001,20.779607
82701.687906,-24602.788672,-103.880000,20.748001,20.979607
82702.143016,-24606.996568,-121.370000,21.366001,21.179607
82702.743760,-24611.159936,-139.070000,20.421001,21.379607
82703.244380,-24615.167456,-157.020000,20.362001,21.579607
82703.717694,-24619.275164,-175.140000,20.688002,21.779607
82704.309336,-24623.260420,-193.480000,19.642000,21.979607
82704.755344,-24627.178884,-212.040000,20.072001,22.179607
82705.265066,-24631.164140,-230.760000,19.801001,22.379607
82705.792993,-24634.993548,-249.710000,19.089001,22.579607
82706.220796,-24638.845220,-268.830000,19.676001,22.779607
82706.766927,-24642.674628,-288.130000,18.794001,22.979607
82707.212934,-24646.381584,-307.630000,18.865002,23.179607
82707.677146,-24650.166464,-327.290000,18.891001,23.379607
